passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,dominant_emotion,dominant_count,rate_per_1000_words,lexicon_source
ch04_p002,"Ch. 4: My College Years BYU and Colombia, passage 2",4,My College Years BYU and Colombia,2,222,trust,4,18.01801801801802,NRC lexicon via tidytext/textdata
ch04_p003,"Ch. 4: My College Years BYU and Colombia, passage 3",4,My College Years BYU and Colombia,3,249,anticipation,8,32.128514056224894,NRC lexicon via tidytext/textdata
ch04_p004,"Ch. 4: My College Years BYU and Colombia, passage 4",4,My College Years BYU and Colombia,4,236,trust,15,63.559322033898304,NRC lexicon via tidytext/textdata
ch04_p005,"Ch. 4: My College Years BYU and Colombia, passage 5",4,My College Years BYU and Colombia,5,230,trust,9,39.130434782608695,NRC lexicon via tidytext/textdata
ch04_p006,"Ch. 4: My College Years BYU and Colombia, passage 6",4,My College Years BYU and Colombia,6,261,trust,11,42.145593869731805,NRC lexicon via tidytext/textdata
ch04_p007,"Ch. 4: My College Years BYU and Colombia, passage 7",4,My College Years BYU and Colombia,7,261,anticipation,10,38.314176245210724,NRC lexicon via tidytext/textdata
ch04_p008,"Ch. 4: My College Years BYU and Colombia, passage 8",4,My College Years BYU and Colombia,8,232,anticipation,9,38.793103448275865,NRC lexicon via tidytext/textdata
ch04_p009,"Ch. 4: My College Years BYU and Colombia, passage 9",4,My College Years BYU and Colombia,9,249,anticipation,4,16.064257028112447,NRC lexicon via tidytext/textdata
ch04_p010,"Ch. 4: My College Years BYU and Colombia, passage 10",4,My College Years BYU and Colombia,10,230,trust,10,43.47826086956522,NRC lexicon via tidytext/textdata
ch04_p011,"Ch. 4: My College Years BYU and Colombia, passage 11",4,My College Years BYU and Colombia,11,233,trust,8,34.33476394849785,NRC lexicon via tidytext/textdata
ch04_p012,"Ch. 4: My College Years BYU and Colombia, passage 12",4,My College Years BYU and Colombia,12,248,trust,14,56.45161290322581,NRC lexicon via tidytext/textdata
ch04_p013,"Ch. 4: My College Years BYU and Colombia, passage 13",4,My College Years BYU and Colombia,13,246,trust,9,36.58536585365854,NRC lexicon via tidytext/textdata
ch04_p014,"Ch. 4: My College Years BYU and Colombia, passage 14",4,My College Years BYU and Colombia,14,241,anticipation,10,41.49377593360996,NRC lexicon via tidytext/textdata
ch04_p015,"Ch. 4: My College Years BYU and Colombia, passage 15",4,My College Years BYU and Colombia,15,243,trust,9,37.03703703703704,NRC lexicon via tidytext/textdata
ch04_p016,"Ch. 4: My College Years BYU and Colombia, passage 16",4,My College Years BYU and Colombia,16,255,trust,13,50.98039215686274,NRC lexicon via tidytext/textdata
ch04_p017,"Ch. 4: My College Years BYU and Colombia, passage 17",4,My College Years BYU and Colombia,17,238,trust,7,29.41176470588235,NRC lexicon via tidytext/textdata
ch04_p018,"Ch. 4: My College Years BYU and Colombia, passage 18",4,My College Years BYU and Colombia,18,248,trust,7,28.225806451612904,NRC lexicon via tidytext/textdata
ch05_p001,"Ch. 5: The CIA, passage 1",5,The CIA,1,261,fear,9,34.48275862068965,NRC lexicon via tidytext/textdata
ch05_p002,"Ch. 5: The CIA, passage 2",5,The CIA,2,264,trust,10,37.87878787878788,NRC lexicon via tidytext/textdata
ch05_p003,"Ch. 5: The CIA, passage 3",5,The CIA,3,246,trust,9,36.58536585365854,NRC lexicon via tidytext/textdata
ch05_p004,"Ch. 5: The CIA, passage 4",5,The CIA,4,258,fear,5,19.37984496124031,NRC lexicon via tidytext/textdata
ch05_p005,"Ch. 5: The CIA, passage 5",5,The CIA,5,261,trust,7,26.819923371647512,NRC lexicon via tidytext/textdata
ch05_p006,"Ch. 5: The CIA, passage 6",5,The CIA,6,245,trust,12,48.97959183673469,NRC lexicon via tidytext/textdata
ch05_p007,"Ch. 5: The CIA, passage 7",5,The CIA,7,230,trust,7,30.434782608695652,NRC lexicon via tidytext/textdata
ch05_p008,"Ch. 5: The CIA, passage 8",5,The CIA,8,237,anticipation,8,33.755274261603375,NRC lexicon via tidytext/textdata
ch05_p009,"Ch. 5: The CIA, passage 9",5,The CIA,9,232,trust,5,21.551724137931036,NRC lexicon via tidytext/textdata
ch05_p010,"Ch. 5: The CIA, passage 10",5,The CIA,10,261,trust,8,30.65134099616858,NRC lexicon via tidytext/textdata
ch05_p011,"Ch. 5: The CIA, passage 11",5,The CIA,11,262,trust,4,15.267175572519083,NRC lexicon via tidytext/textdata
