passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,sentiment,count,rate_per_1000_words,lexicon_source
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,fear,14,53.639846743295024,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,joy,2,7.662835249042145,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,negative,21,80.45977011494253,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,positive,7,26.819923371647512,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,sadness,15,57.47126436781609,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,surprise,5,19.157088122605362,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,trust,8,30.65134099616858,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,anger,1,4.273504273504274,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,anticipation,5,21.367521367521366,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,disgust,0,0,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,fear,1,4.273504273504274,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,joy,4,17.094017094017097,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,negative,0,0,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,positive,10,42.73504273504273,NRC lexicon via tidytext/textdata
