id,chapter,chapter_title,approx_start_year,approx_end_year,negative,positive,net_bing_sentiment,sentiment_intensity
ch07_p006,7,Headquarters Duty,1960,1964,0,1,1,1
ch07_p007,7,Headquarters Duty,1960,1964,5,3,-2,8
ch07_p008,7,Headquarters Duty,1960,1964,3,6,3,9
ch07_p009,7,Headquarters Duty,1960,1964,3,3,0,6
ch07_p010,7,Headquarters Duty,1960,1964,2,2,0,4
ch07_p011,7,Headquarters Duty,1960,1964,2,8,6,10
ch07_p012,7,Headquarters Duty,1960,1964,1,2,1,3
ch07_p013,7,Headquarters Duty,1960,1964,5,18,13,23
ch07_p014,7,Headquarters Duty,1960,1964,5,9,4,14
ch07_p015,7,Headquarters Duty,1960,1964,1,6,5,7
ch07_p016,7,Headquarters Duty,1960,1964,4,5,1,9
ch07_p017,7,Headquarters Duty,1960,1964,0,1,1,1
ch08_p001,8,Rio De Janeiro,1965,1968,2,4,2,6
ch08_p002,8,Rio De Janeiro,1965,1968,1,5,4,6
ch08_p003,8,Rio De Janeiro,1965,1968,7,1,-6,8
ch08_p004,8,Rio De Janeiro,1965,1968,7,5,-2,12
ch08_p005,8,Rio De Janeiro,1965,1968,3,5,2,8
ch08_p006,8,Rio De Janeiro,1965,1968,3,3,0,6
ch08_p007,8,Rio De Janeiro,1965,1968,2,6,4,8
ch08_p008,8,Rio De Janeiro,1965,1968,2,4,2,6
ch08_p009,8,Rio De Janeiro,1965,1968,0,5,5,5
ch08_p010,8,Rio De Janeiro,1965,1968,6,1,-5,7
ch08_p011,8,Rio De Janeiro,1965,1968,1,3,2,4
ch08_p012,8,Rio De Janeiro,1965,1968,5,2,-3,7
ch08_p013,8,Rio De Janeiro,1965,1968,2,2,0,4
ch09_p002,9,The McLean Va. Years,1968,1970,3,11,8,14
ch09_p003,9,The McLean Va. Years,1968,1970,6,5,-1,11
ch09_p004,9,The McLean Va. Years,1968,1970,0,2,2,2
ch09_p005,9,The McLean Va. Years,1968,1970,11,2,-9,13
ch09_p006,9,The McLean Va. Years,1968,1970,6,5,-1,11
ch10_p002,10,Making a Career Change,1968,1973,5,14,9,19
ch10_p003,10,Making a Career Change,1968,1973,2,3,1,5
ch10_p004,10,Making a Career Change,1968,1973,11,10,-1,21
ch10_p005,10,Making a Career Change,1968,1973,0,3,3,3
ch10_p006,10,Making a Career Change,1968,1973,2,4,2,6
ch10_p007,10,Making a Career Change,1968,1973,2,5,3,7
ch10_p008,10,Making a Career Change,1968,1973,3,13,10,16
ch10_p009,10,Making a Career Change,1968,1973,1,4,3,5
ch10_p010,10,Making a Career Change,1968,1973,0,5,5,5
ch10_p011,10,Making a Career Change,1968,1973,4,10,6,14
ch10_p012,10,Making a Career Change,1968,1973,3,18,15,21
ch11_p001,11,Post Rio to Retirement,1968,1975,1,3,2,4
ch11_p002,11,Post Rio to Retirement,1968,1975,3,3,0,6
ch11_p003,11,Post Rio to Retirement,1968,1975,3,4,1,7
ch11_p004,11,Post Rio to Retirement,1968,1975,5,5,0,10
ch11_p005,11,Post Rio to Retirement,1968,1975,2,3,1,5
ch11_p006,11,Post Rio to Retirement,1968,1975,6,12,6,18
ch11_p007,11,Post Rio to Retirement,1968,1975,1,1,0,2
ch11_p008,11,Post Rio to Retirement,1968,1975,3,4,1,7
ch11_p009,11,Post Rio to Retirement,1968,1975,2,2,0,4
ch11_p010,11,Post Rio to Retirement,1968,1975,9,7,-2,16
ch11_p012,11,Post Rio to Retirement,1968,1975,2,8,6,10
ch11_p013,11,Post Rio to Retirement,1968,1975,3,3,0,6
ch11_p015,11,Post Rio to Retirement,1968,1975,2,5,3,7
ch11_p016,11,Post Rio to Retirement,1968,1975,4,5,1,9
ch11_p017,11,Post Rio to Retirement,1968,1975,2,7,5,9
ch11_p018,11,Post Rio to Retirement,1968,1975,0,1,1,1
