id,label,short_label,type,group,chapter,title,value
place_sable_drive,Sable Drive,Sable Drive,Place,Place,NA,"Sable Drive
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_south_china_sea,South China Sea,South China Sea,Place,Place,NA,"South China Sea
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_balboa_beach,Balboa Beach,Balboa Beach,Place,Place,NA,"Balboa Beach
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_bunker_hill,Bunker Hill,Bunker Hill,Place,Place,NA,"Bunker Hill
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_caribbean,Caribbean,Caribbean,Place,Place,NA,"Caribbean
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_clarkston,Clarkston,Clarkston,Place,Place,NA,"Clarkston
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_lexington,Lexington,Lexington,Place,Place,NA,"Lexington
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_lone_pine,Lone Pine,Lone Pine,Place,Place,NA,"Lone Pine
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_marcus_island,Marcus Island,Marcus Island,Place,Place,NA,"Marcus Island
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_marianas_islands,Marianas Islands,Marianas Islands,Place,Place,NA,"Marianas Islands
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_panama_canal,Panama Canal,Panama Canal,Place,Place,NA,"Panama Canal
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_san_diego,San Diego,San Diego,Place,Place,NA,"San Diego
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_soda_springs,Soda Springs,Soda Springs,Place,Place,NA,"Soda Springs
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_teton_mountains,Teton Mountains,Teton Mountains,Place,Place,NA,"Teton Mountains
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_tooele,Tooele,Tooele,Place,Place,NA,"Tooele
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_victor,Victor,Victor,Place,Place,NA,"Victor
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
