id,label,short_label,type,group,chapter,title,value
date__1988,1988,1988,Date,Date,NA,"1988
Type: Date
Review status: unreviewed seed
Total mentions: 8",8
date__1924,1924,1924,Date,Date,NA,"1924
Type: Date
Review status: unreviewed seed
Total mentions: 8",8
date__1926,1926,1926,Date,Date,NA,"1926
Type: Date
Review status: unreviewed seed
Total mentions: 8",8
date__1927,1927,1927,Date,Date,NA,"1927
Type: Date
Review status: unreviewed seed
Total mentions: 8",8
date__1936,1936,1936,Date,Date,NA,"1936
Type: Date
Review status: unreviewed seed
Total mentions: 8",8
date__1957,1957,1957,Date,Date,NA,"1957
Type: Date
Review status: unreviewed seed
Total mentions: 8",8
event_world_war_ii,World War II,World War II,Event,Event,NA,"World War II
Type: Event
Review status: unreviewed seed
Total mentions: 17.8885438199983",17.88854381999832
event_vietnam_war,Vietnam War,Vietnam War,Event,Event,NA,"Vietnam War
Type: Event
Review status: unreviewed seed
Total mentions: 8",8
event_american_revolution,American Revolution,American Revolution,Event,Event,NA,"American Revolution
Type: Event
Review status: unreviewed seed
Total mentions: 8",8
organization_sunday_school,Sunday School,Sunday School,Organization,Organization,NA,"Sunday School
Type: Organization
Review status: unreviewed seed
Total mentions: 12",12
organization_air_force,Air Force,Air Force,Organization,Organization,NA,"Air Force
Type: Organization
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
organization_columbia_university,Columbia University,Columbia University,Organization,Organization,NA,"Columbia University
Type: Organization
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
organization_foreign_service,Foreign Service,Foreign Service,Organization,Organization,NA,"Foreign Service
Type: Organization
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
organization_clandestine_services,Clandestine Services,Clandestine Services,Organization,Organization,NA,"Clandestine Services
Type: Organization
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
organization_personnel_management_staff,Personnel Management Staff,Personnel Management Staff,Organization,Organization,NA,"Personnel Management Staff
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_strategic_services,Strategic Services,Strategic Services,Organization,Organization,NA,"Strategic Services
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_utah_state_agricultural_college,Utah State Agricultural College,Utah State Agricultural College,Organization,Organization,NA,"Utah State Agricultural College
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_central_intelligence_agency,Central Intelligence Agency,Central Intelligence Agency,Organization,Organization,NA,"Central Intelligence Agency
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_state_department,State Department,State Department,Organization,Organization,NA,"State Department
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_western_electric,Western Electric,Western Electric,Organization,Organization,NA,"Western Electric
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_first_presidency,First Presidency,First Presidency,Organization,Organization,NA,"First Presidency
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_u_s_navy,U.S. Navy,U.S. Navy,Organization,Organization,NA,"U.S. Navy
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_american_university,American University,American University,Organization,Organization,NA,"American University
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_brigham_young_university,Brigham Young University,Brigham Young University,Organization,Organization,NA,"Brigham Young University
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_church_of_jesus_christ_of_latter_day_saints,Church of Jesus Christ of Latter-day Saints,Church of Jesus Christ of Latter-day Saints,Organization,Organization,NA,"Church of Jesus Christ of Latter-day Saints
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_communications_workers_of_america,Communications Workers of America,Communications Workers of America,Organization,Organization,NA,"Communications Workers of America
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_eastside_grammar_school,Eastside Grammar School,Eastside Grammar School,Organization,Organization,NA,"Eastside Grammar School
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_lincoln_school,Lincoln School,Lincoln School,Organization,Organization,NA,"Lincoln School
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_mountain_states_telephone_and_telegraph,Mountain States Telephone and Telegraph,Mountain States Telephone and Telegraph,Organization,Organization,NA,"Mountain States Telephone and Telegraph
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_pomona_high_school,Pomona High School,Pomona High School,Organization,Organization,NA,"Pomona High School
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_presiding_bishop_s_office,Presiding Bishop's Office,Presiding Bishop's Office,Organization,Organization,NA,"Presiding Bishop's Office
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_riverside_grammar_school,Riverside Grammar School,Riverside Grammar School,Organization,Organization,NA,"Riverside Grammar School
Type: Organization
Review status: unreviewed seed
Total mentions: 8",8
organization_place_american_embassy,American Embassy,American Embassy,Organization/Place,Organization/Place,NA,"American Embassy
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 13.2664991614216",13.2664991614216
organization_place_alexandria_ward,Alexandria Ward,Alexandria Ward,Organization/Place,Organization/Place,NA,"Alexandria Ward
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
organization_place_arlington_ward,Arlington Ward,Arlington Ward,Organization/Place,Organization/Place,NA,"Arlington Ward
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 8",8
organization_place_soviet_embassy,Soviet Embassy,Soviet Embassy,Organization/Place,Organization/Place,NA,"Soviet Embassy
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 8",8
organization_place_arizona_temple,Arizona Temple,Arizona Temple,Organization/Place,Organization/Place,NA,"Arizona Temple
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 8",8
organization_place_idaho_falls_temple,Idaho Falls Temple,Idaho Falls Temple,Organization/Place,Organization/Place,NA,"Idaho Falls Temple
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 8",8
organization_place_mesa_temple,Mesa Temple,Mesa Temple,Organization/Place,Organization/Place,NA,"Mesa Temple
Type: Organization/Place
Review status: unreviewed seed
Total mentions: 8",8
person_marion,Marion,Marion,Person,Person,NA,"Marion
Type: Person
Review status: unreviewed seed
Total mentions: 35",35
person_richard,Richard,Richard,Person,Person,NA,"Richard
Type: Person
Review status: unreviewed seed
Total mentions: 18.3303027798234",18.33030277982336
person_martin,Martin,Martin,Person,Person,NA,"Martin
Type: Person
Review status: unreviewed seed
Total mentions: 16.9705627484771",16.97056274847714
person_loverna,Loverna,Loverna,Person,Person,NA,"Loverna
Type: Person
Review status: unreviewed seed
Total mentions: 14.422205101856",14.422205101855956
person_ila_rose,Ila Rose,Ila Rose,Person,Person,NA,"Ila Rose
Type: Person
Review status: unreviewed seed
Total mentions: 12",12
person_franklin_d_roosevelt,Franklin D. Roosevelt,Franklin D. Roosevelt,Person,Person,NA,"Franklin D. Roosevelt
Type: Person
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
person_rhoda_jones,Rhoda Jones,Rhoda Jones,Person,Person,NA,"Rhoda Jones
Type: Person
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
person_heber_j_grant,Heber J. Grant,Heber J. Grant,Person,Person,NA,"Heber J. Grant
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_howard_hunt,Howard Hunt,Howard Hunt,Person,Person,NA,"Howard Hunt
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_joseph_smith,Joseph Smith,Joseph Smith,Person,Person,NA,"Joseph Smith
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_julian_lowe,Julian Lowe,Julian Lowe,Person,Person,NA,"Julian Lowe
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_richard_m_nixon,Richard M. Nixon,Richard M. Nixon,Person,Person,NA,"Richard M. Nixon
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_dwight_d_eisenhower,Dwight D. Eisenhower,Dwight D. Eisenhower,Person,Person,NA,"Dwight D. Eisenhower
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_jack_kelley,Jack Kelley,Jack Kelley,Person,Person,NA,"Jack Kelley
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_joyce_mcneill,Joyce McNeill,Joyce McNeill,Person,Person,NA,"Joyce McNeill
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_martin_harris,Martin Harris,Martin Harris,Person,Person,NA,"Martin Harris
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_dottie_burton,Dottie Burton,Dottie Burton,Person,Person,NA,"Dottie Burton
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_harold_price,Harold Price,Harold Price,Person,Person,NA,"Harold Price
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_howard_hughes,Howard Hughes,Howard Hughes,Person,Person,NA,"Howard Hughes
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_joe_dunn,Joe Dunn,Joe Dunn,Person,Person,NA,"Joe Dunn
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_lyndon_johnson,Lyndon Johnson,Lyndon Johnson,Person,Person,NA,"Lyndon Johnson
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_martin_luther_king,Martin Luther King,Martin Luther King,Person,Person,NA,"Martin Luther King
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_melvin_olsen,Melvin Olsen,Melvin Olsen,Person,Person,NA,"Melvin Olsen
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_solomon_webster_harris,Solomon Webster Harris,Solomon Webster Harris,Person,Person,NA,"Solomon Webster Harris
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_spencer_w_kimball,Spencer W. Kimball,Spencer W. Kimball,Person,Person,NA,"Spencer W. Kimball
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_wendell_thorne,Wendell Thorne,Wendell Thorne,Person,Person,NA,"Wendell Thorne
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_al_harris,Al Harris,Al Harris,Person,Person,NA,"Al Harris
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_anthony_w_ivins,Anthony W. Ivins,Anthony W. Ivins,Person,Person,NA,"Anthony W. Ivins
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_carmen_stevens,Carmen Stevens,Carmen Stevens,Person,Person,NA,"Carmen Stevens
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_clifford,Clifford,Clifford,Person,Person,NA,"Clifford
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_cyd_charisse,Cyd Charisse,Cyd Charisse,Person,Person,NA,"Cyd Charisse
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_david_o_mckay,David O. McKay,David O. McKay,Person,Person,NA,"David O. McKay
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_elwood_heiner,Elwood Heiner,Elwood Heiner,Person,Person,NA,"Elwood Heiner
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_george_albert_smith,George Albert Smith,George Albert Smith,Person,Person,NA,"George Albert Smith
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_george_f_richards,George F. Richards,George F. Richards,Person,Person,NA,"George F. Richards
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
person_harry_truman,Harry Truman,Harry Truman,Person,Person,NA,"Harry Truman
Type: Person
Review status: unreviewed seed
Total mentions: 8",8
